"1.08"	"1.75"	"2.36"	"2.99"	"3.66"	"4.31"	"5.6"	"6.26"	"7.56"	"8.29"	"9.84"	"10.73"	"11.17"	"11.56"	"12.13"	"12.61"	"13.62"	"14.03"	"15.6"	"15.91"	"16.5"	"17.34"	"18.39"	"19.30"	"19.9"
"Acaryochloridaceae"	6	9	10	6	14	6	1	10	10	5	4	14	5	17	24	7	5	7	7	14	1	7	3	9	20
"Aphanizomenonaceae"	69	56	42	52	77	75	54	63	151	69	121	120	60	75	56	58	104	36	72	117	100	78	75	63	54
"Aphanothecaceae"	46	25	34	42	51	41	20	62	132	53	70	135	124	108	79	42	217	171	39	61	117	65	68	57	61
"Calotrichaceae"	96	103	82	92	104	106	62	107	200	109	165	187	173	91	149	106	135	83	104	102	110	126	115	150	135
"Chamaesiphonaceae"	10	7	7	6	8	6	10	6	12	17	7	6	4	6	10	15	7	4	5	11	230	4	1	15	1
"Chlorobiaceae"	144	164	123	102	114	119	63	98	250	122	117	70	86	102	57	38	72	51	92	137	92	104	55	96	108
"Chloroflexaceae"	21	31	20	17	24	19	11	19	9	13	9	9	15	18	13	10	15	4	16	22	9	6	26	17	13
"Chroococcaceae"	21	35	20	21	26	21	34	50	25	32	45	96	57	59	60	17	72	28	27	32	31	56	71	34	72
"Chroococcidiopsidaceae"	8	18	5	7	12	11	5	21	43	42	41	22	10	10	148	7	24	4	14	7	2	16	12	13	17
"Coleofasciculaceae"	7	30	10	9	7	16	9	11	3	3	3	5	4	3	27	2	1	1	9	6	11	7	3	3	11
"Cyanothecaceae"	6	11	19	2	7	7	0	18	4	3	10	11	6	1	5	4	4	6	8	9	1	2	1	14	2
"Dermocarpellaceae"	12	4	6	8	13	12	14	23	36	33	23	35	38	28	48	15	41	9	17	18	53	6	16	26	19
"Gloeobacteraceae"	29	32	35	17	34	23	6	14	67	9	10	15	17	24	2	5	11	10	30	25	11	7	3	4	23
"Gloeomargaritaceae"	9	3	3	9	1	5	0	16	21	4	8	8	6	4	1	5	18	2	9	14	2	15	24	6	4
"Gomontiellaceae"	5	2	6	12	11	18	1	13	7	4	4	5	6	8	10	4	8	4	5	9	50	21	5	41	4
"Hapalosiphonaceae"	48	9	17	13	26	15	15	10	23	27	16	21	21	8	12	13	33	1	12	23	21	15	12	26	14
"Heliobacteriaceae"	12	31	21	18	22	25	6	68	59	21	33	25	67	17	23	10	114	37	28	19	154	35	3	36	15
"Hyellaceae"	6	14	6	10	6	4	7	4	3	11	28	25	11	4	10	4	4	1	3	0	0	6	0	10	4
"Leptolyngbyaceae"	39	66	52	46	55	57	43	43	56	32	37	31	51	29	59	24	53	14	33	47	27	44	74	42	30
"Merismopediaceae"	7	12	8	5	7	8	7	16	36	9	21	12	16	4	17	3	7	3	4	7	16	1	4	2	7
"Microcoleaceae"	60	49	37	40	43	65	27	52	102	61	20	61	110	47	42	34	51	20	51	72	52	73	30	43	66
"Microcystaceae"	36	33	25	22	19	26	19	31	116	27	62	29	30	45	21	25	70	9	19	32	29	28	28	25	11
"Nostocaceae"	224	183	160	146	197	183	154	221	516	278	282	329	286	188	267	208	289	140	213	296	249	285	230	290	244
"Oculatellaceae"	6	24	12	3	8	7	5	4	10	16	2	4	4	7	2	12	12	3	6	11	3	7	1	3	15
"Oscillatoriaceae"	50	53	45	48	42	54	28	44	104	67	78	53	54	32	120	34	75	35	67	97	47	64	45	84	38
"Prochloraceae"	33	33	40	35	29	46	16	98	136	51	98	97	95	67	95	56	113	56	43	46	43	62	62	42	43
"Prochlorotrichaceae"	6	20	11	5	8	18	5	7	4	2	5	3	1	7	15	4	9	3	9	13	4	6	1	4	13
"Pseudanabaenaceae"	12	24	20	15	13	22	12	16	75	23	15	12	45	34	46	10	29	17	9	26	9	34	16	38	13
"Rivulariaceae"	16	25	16	14	11	23	14	23	30	14	14	38	15	14	28	24	32	8	6	11	27	20	26	27	16
"Roseiflexaceae"	38	50	43	28	19	27	13	13	31	20	27	24	16	25	16	12	11	7	20	25	7	12	19	26	19
"Scytonemataceae"	32	26	15	19	26	18	9	25	31	32	56	22	28	21	45	10	40	17	19	36	18	26	13	20	27
