Age_ka	IP25_interpol	SST_interpol
1.08	0.002963148	10.62408724
1.75	0.002626213	10.64911873
2.36	0.002154964	11.05654296
2.99	0.001993602	10.63779093
3.66	0.003891224	10.34516472
4.31	0.002803875	9.96946128
5.6	0.004077585	10.34702008
6.26	0.002729124	9.783810255
7.56	0.002782423	10.06475664
8.29	0.003998239	10.46982775
9.84	0.002321933	10.86202396
10.73	0.002810701	10.57618842
11.17	0.006094	10.3278189
11.56	0.004425627	10.04186022
12.13	0.028385708	7.14345425
12.61	0.020262972	7.313923674
13.62	0.004270033	9.318954252
14.03	0.005828588	8.921210969
15.6	0.022091014	6.70318985
15.91	0.018019808	6.59466641
16.5	0.029575612	6.992239568
17.34	0.01472526	5.695324051
18.39	0.018176429	7.306682467
19.3	0.018176429	7.27120261
19.9	0.018176429	7.466771735
