age	pelagic.sum	benthic.sum	pelagic-benthic-ratio
1.08	51662	14854	3.477985728
1.75	11250	2043	5.50660793
2.36	12592	2320	5.427586207
2.99	10430	1505	6.930232558
3.66	9644	1562	6.174135723
4.31	9251	1382	6.693921852
5.6	6172	1159	5.325280414
6.26	14524	2139	6.790088827
7.56	15145	2440	6.206967213
8.29	11075	1791	6.183696259
9.84	75505	19217	3.929073216
10.73	13166	1999	6.586293147
11.17	10960	1882	5.823591923
11.56	10524	1492	7.053619303
12.13	15181	1718	8.836437718
12.61	13870	1769	7.840587903
13.62	10790	2457	4.391534392
14.03	8651	1390	6.223741007
15.6	25231	2227	11.32959138
15.91	33688	2739	12.29937934
16.5	11875	1676	7.085322196
17.34	16549	2156	7.675788497
18.39	14349	1732	8.284642032
19.3	49831	7091	7.027358624
19.9	9136	1634	5.591187271
