"Acanthasteridae"	"Acroporidae"	"Actiniidae"	"Aglajidae"	"Aiptasiidae"	"Alariaceae"	"Ampullariidae"	"Aplysiidae"	"Arcidae"	"Ascidiidae"	"Asteriidae"	"Asterinidae"	"Bangiaceae"	"Batrachospermaceae"	"Boldiaceae"	"Ceramiaceae"	"Champiaceae"	"Cionidae"	"Comatulidae"	"Corallinaceae"	"Cyanidiaceae"	"Daphniidae"	"Delesseriaceae"	"Dictyotaceae"	"Dugesiidae"	"Echinometridae"	"Edwardsiidae"	"Endocladiaceae"	"Gelidiaceae"	"Gigartinaceae"	"Gracilariaceae"	"Haliotidae"	"Hildenbrandiaceae"	"Hyalellidae"	"Hyalidae"	"Laminariaceae"	"Liagoraceae"	"Limulidae"	"Lingulidae"	"Lottiidae"	"Lumbricidae"	"Lysianassidae"	"Merulinidae"	"Mytilidae"	"Nephtheidae"	"Niphatidae"	"Ostreidae"	"Oxystominidae"	"Palaemonidae"	"Parastacidae"	"Pectinidae"	"Penaeidae"	"Pocilloporidae"	"Pollicipedidae"	"Porphyridiaceae"	"Priapulidae"	"Pterocladiaceae"	"Rhodochaetaceae"	"Rhodomelaceae"	"Rossellidae"	"Sargassaceae"	"Schizymeniaceae"	"Solecurtidae"	"Strongylocentrotidae"	"Styelidae"	"Tetragonicipitidae"	"Trichoplacidae"	"Wrangeliaceae"	"Zosteraceae"
"1.08"	10.43	11.25	18.42	0	8.14	0	17.62	52.67	0.19	2.67	73.81	40.02	3.03	0.31	0	0.63	0	10.6	8.36	0	4.76	10.61	1.12	0.79	0	0.52	9.7	0	0	2.83	1.37	2.08	0.26	8.94	0.49	0.57	1.37	9.34	6.96	7.49	0.47	0.24	9.76	2.84	6.84	6.06	138.12	0	243.89	0.45	126.34	900.78	11.02	12.79	0.25	6.41	0.21	0	1.6	0	0	0.26	0	19.27	5.54	15.06	2.14	0	1.31
"1.75"	17.38	20.69	19.9	0	13.89	1.04	29.21	47.48	0	13.19	123.95	18.37	2.96	1.01	0	5.52	0	11.86	22.69	0	9.9	16.81	1.47	0	1.45	0	23.11	0	0.5	6.2	2.6	1.04	1.63	22.64	0.59	5.34	1.09	27.58	18.23	17.29	1	0	24.33	11.42	16.52	29.11	286.84	0.98	441.42	1.47	266.26	132.91	26.88	15.17	0	11.64	0	0	8.64	0	0	0	0	32.94	15.66	0.64	3.29	0.55	4.72
"2.36"	26.73	23.78	15.89	0	18.2	0	26.99	37.02	0	8.07	138.46	22.58	4.7	0	0	4.25	0	8.08	14.39	0.6	16.74	15.43	2.65	0	1.99	0	30.26	0	1.39	5.46	0.86	2.89	0.61	21.81	0	1.44	2.44	17.06	18.32	9.09	0.7	0.64	28.33	13.77	23.06	33.14	338.52	1.38	449.69	0	278.2	25.41	34.77	20.68	0	15.96	0	0.62	4.16	0	0	1.25	0	40.83	9.17	0	4.83	0.63	15.08
"2.99"	13.08	22.52	14.61	0	16.92	0	29.77	73.17	1.92	7.75	137.87	17.59	3.62	0	0	4.11	0.53	11.65	26	2.36	7.27	14.84	3.89	3.07	0.69	0	22.02	0	1.21	7.6	3.97	0.58	0	11.36	0	4.54	1.37	22.27	15.36	16.15	0.68	0	15.41	47.2	10.91	20.31	310.85	1.05	414.2	0	246.7	31.24	30.43	12.36	0	19.46	0	0	5.21	0	1.05	0	0	68.32	18.02	0	10.66	0	55.28
"3.66"	23.43	26.33	12.03	0	24.7	0.5	36.7	75.37	0	10.2	146.98	21.56	3.29	1.67	0.64	1.2	0.6	6	27.17	0.98	9.15	13.4	2.02	0.57	1.15	0.65	26.76	0	0	9.65	2.86	1.77	0	23.49	0	4.7	3.85	18.31	17.32	12.86	0	0	12.71	20.63	20.27	20.13	310.61	1.76	444.77	0	248.97	36.2	41.07	11.94	0.43	29.33	0	0	2.83	0	1.09	0	0	35.79	15.78	0	6.82	0	10.01
"4.31"	22.8	30.11	18.42	0	23.78	0.72	24.22	44.35	0.65	9.68	137.22	23.32	1.09	2.46	0	2.44	0	9.61	30.89	0.66	8.79	13.97	1.4	0	1.91	0	23.1	0.7	0.53	1.86	0	2.7	0	20.85	0	2.38	4.71	26.62	20.88	14.04	0	0	21.97	18.24	14.61	13.61	339.52	0.71	416.7	0	280.49	33.27	28.77	6.68	0.81	49.76	0.62	0	5.4	0	2.67	0	0	41.58	16.92	0	9.64	0.77	9.4
"5.6"	9.15	24.17	14.55	0	8.88	0	25.15	55.83	4.79	2.93	189.6	9.33	8.03	0	0	5.95	0.98	20.34	38.8	1.07	12.02	12.03	4.21	0.93	1.94	0	18.41	0	0	2.05	5.81	2.07	0	26.74	0	4.16	12.26	30.58	10.08	9.22	0.99	0	10.02	14.62	18.21	18.21	289.71	2.81	495.54	0	265.33	20.34	44.36	3.68	0.89	22.11	0.88	1.8	4.39	0	2.08	0	0	23.7	19	0	5.27	0	3
"6.26"	23.95	31.31	25.05	0	19.16	0	26.49	45.81	0.42	7.27	109.92	14.71	2.78	0.91	3.64	3.61	1.7	10.88	22.9	0	7.11	22.18	10.1	1.78	0.9	0	20.56	0	0	4	5.61	0	0.36	29.17	0.68	1.81	7.43	45.57	12.43	12.7	0	0	19.59	11.74	15.45	16.72	324.17	1.42	414.06	0.35	276.4	33.39	30.88	7.93	0.52	84.63	0	0	9.63	0	2.1	0	0	37.14	16.56	0	1.62	0	1.8
"7.56"	13.18	26.52	28.26	0	14.83	1.41	24.03	40.98	0.28	4.41	131.33	18.07	0.43	9.78	2.84	1.28	0.49	9.39	19.22	0	1.92	48.75	11.02	3.87	4.1	0	32.77	7.59	1.56	15.24	2.45	0.77	6.96	34.64	6.95	1.06	9.65	13.66	23.85	18.06	3.09	0	22.26	6.59	10.33	20.15	266.9	0.4	440.11	0	262.55	22.96	27.83	8.52	7.38	64.91	0.54	0	14.27	4.63	0.3	0	3.53	32.79	19.91	0	2.4	1.47	3.58
"8.29"	18.82	34.04	20.17	3.4	17.88	0	23.01	47.14	0.46	8.83	138.47	10.51	2.13	6.18	1.96	4.7	0.42	13.28	20.66	10.38	3.45	18.3	10.01	2.07	1.05	33.86	21.91	0	1.08	8.65	2.97	0	7.37	28.96	1.92	0.54	5.26	21.11	31.2	12.8	2.49	0	22.12	8.36	12.23	12.56	305.72	0.53	433.25	0	258.44	23.05	28.76	8.11	1.07	38.88	0	0.55	14.44	0	4.86	0	2.77	38.95	9.86	0	2.89	0.53	13.63
"9.84"	10.33	37.3	18.56	0	21.02	0	19.41	47.48	0	10.69	140.47	11.46	6.9	0	1.71	11.33	0.41	14.47	31.21	0.51	19.15	10.76	2.19	5.17	10.39	0	9.44	0	0.98	1.91	2.88	4.03	2.27	4.37	0.32	0.84	1.71	18.43	14.51	9.2	0.6	0	24.39	6.87	18.19	13.89	357.85	0.98	452.35	0	262.24	25.4	33.84	9.07	0.81	37.09	6.73	0	9.29	0	1.98	0	5.44	30.3	21.45	0	2.59	9.26	6.58
"10.73"	14.03	38.01	20.75	0	13.53	0	37.4	55.51	8.75	3.96	124.15	9.37	2.48	0	2.28	5.87	0.3	9.38	29.07	0.39	7.3	25.77	5.8	1.13	0.82	0	24.91	0	0.71	0.34	3.29	0.34	0	22.2	0.69	0.3	4.63	23.97	19.3	5.7	0	0	15.73	4.22	9.51	13.28	314.77	0.4	465.79	1.25	262.65	27.03	88.64	7.26	0.42	13.1	0	0	9.34	0	1.25	0	0	41.33	16.35	0	3.93	0	20.32
"11.17"	21.19	46.68	21.38	0	18.64	0	33.09	26.28	0	6.59	126.27	14.05	2.48	0	5.55	4.39	0.77	25.71	24.89	0	4.23	17.63	7.04	1.5	0.41	0	14.95	0	0.76	4.92	3.52	0	0	13.72	3.25	0.93	1.9	31.01	9.79	12.18	4.95	0	18.16	12.08	8.28	16.64	326.22	0.86	475.27	0.42	284.85	25.64	38.27	9.29	1.05	33.85	1	0	8.47	0	0.42	0	0	42.16	17.9	0	3.43	0.76	3.33
"11.56"	21.01	30.43	23.34	0	15.54	0.74	32.32	57.02	3.03	4.38	136.54	11.68	3.08	1.26	1.21	5.48	0.65	12.7	22.44	1.02	7.23	23.75	2.29	1.29	1.88	0	16.33	0	0	3.41	1.31	3.07	4.46	20.12	2.11	0	8.8	17.01	24.6	17.16	1.09	0	15.7	24.26	18.04	13.23	334.4	1.95	468.96	0	284.67	21.22	31.19	9.17	0	6.46	0	0	7.51	0	1.17	0	0	42.57	15.32	0	2.67	0	0.73
"12.13"	26.49	38.65	15.77	0	13.47	2.52	28.07	28.93	0	7.37	147.82	11.98	0	0	0.4	4.24	0.63	16.65	7.22	0	4.42	6.63	1.02	1.86	2.38	0	26.65	0	1.66	2.4	4.84	0	0	17.79	0	1.9	11.59	22.18	11.81	17.1	0	0	13.69	1.64	7.76	21.94	347.77	0.4	433.61	0	314.65	29.79	40.78	6.42	0	51.04	0	0	17.9	0	0	10.32	0	21.24	26.84	0	7.94	0	0.83
"12.61"	12.5	21.63	17.62	0	13.48	0.64	11.71	154.93	0.61	12.32	120.79	15.08	1.45	0	3.02	2.94	0	8.09	19.73	1.21	4.55	14.24	6.61	3.43	0.54	0	22.09	0	6.23	1.2	4.78	0.58	1.12	14.18	0	65.32	2.09	29.28	14.94	11.86	0	0	10.6	21.22	12.43	10.46	299.29	1.92	401.68	0	238.65	24.76	26.18	6.59	0.6	69.09	0	0	4.63	0	0	0	0	52.43	28.51	0	3.38	0	5.79
"13.62"	13.21	24	13.19	1.03	13.73	0	17.53	29.6	0	8.94	107.24	14.68	0.62	0	1.24	4.57	0	12.07	15.65	0	4.55	9.37	10.16	0.39	4.2	0	8.66	0	0.3	7.61	6	5.74	0	17.02	5.23	0.82	5.54	26.65	8.9	13.73	0	4.28	18.71	9	25.84	11.1	285.31	0	403.19	0	227.38	23.17	40.52	4.04	0	309.29	0	0	14.11	0	0.22	0	0	28.86	16.13	0	3.64	1.08	0.96
"14.03"	20.82	25.62	33.62	2.56	16	0	23.37	103.05	0	4.28	96.18	14.4	1.36	0	7.42	3.99	7.58	26.26	23.23	0	4.99	32.98	4.32	0	2.22	1.49	14.34	0	0.6	2.26	0	2.36	2.18	15.39	5.05	0.62	5.07	15.49	15.13	10	0.83	0	14.34	31.82	18.19	16.26	300.06	4.42	424.84	0	264.79	24.3	38.01	6.9	0	69.41	0	0.77	10.54	0	1.7	0	0	43.8	20.32	0	3.47	0	0
"15.6"	16.71	23.33	20.46	0	17.51	1.96	23.02	221	0	5.73	112.35	11.65	0.43	0.89	0.65	3.06	0.8	12.8	19.05	0.47	6.33	20.07	2.31	3.01	3.36	0	15.46	0	1.89	6.56	1.15	1.77	0.46	13.91	0.35	10.01	1.17	22.83	17.43	10	0.43	0	18.53	2.74	9.98	13.18	311.34	6.55	426.47	0.45	246.68	24.29	22.68	15.36	0	14.11	0	1.44	7.42	0	0.37	0	0	65.67	16.61	0.47	3.91	0	0.38
"15.91"	19.83	22.94	21.09	0	9.17	3.08	25.33	209.88	0	9.26	109.3	19.2	2.36	0.65	0.36	2.04	0	13.01	25.62	0	9.2	15.07	1.32	2.11	1.63	0.26	15.52	0	0.84	2.7	2.37	1.03	0.59	13.24	1.34	9.35	4.39	17.64	15.21	11.18	0	0	18.44	2.41	12.95	11.33	305.67	3.86	446.67	1.05	244.97	22.81	28.11	8.12	1.42	15.1	0	0	7.89	0	0.32	0	0	66.37	17.94	0	5.46	0	0
"16.5"	10.14	18.56	15.74	8.42	32.05	0.99	29.14	97.22	0	4.92	167.35	8.54	0	0.54	0	1.69	0	5.7	35.37	0	6.49	13.87	11.12	0.51	0	0.5	14.94	0	0.52	2.62	0.44	0.56	0.96	9.74	0	4.41	2.18	15.97	9.65	9.33	0.44	0	21.87	0.49	18.09	7.4	323.07	0.98	475.04	0	267.71	18.34	24.98	6.59	0	44.36	0	7.67	10.3	0	0	0	0	44.38	19.86	0	5.11	0.62	1.52
"17.34"	15.3	16.32	25.18	3.64	17.6	2.76	23.6	89.6	3.27	11.27	123.91	9.67	2.35	0.48	0	0.72	0	10.28	18.31	0.38	7.2	14.24	1.25	0.32	1.31	0	20.84	0	1.4	3.32	6.67	0.38	0.39	30.95	1.87	7.46	1.46	21.87	8.87	15.03	0.39	0	28.14	2.46	13.83	10.05	303.92	2.41	456.55	2.71	233.8	21.37	27.87	9.5	0	126.76	0	0.39	4.23	0	1.95	0	0.5	45.51	19.6	0	6.63	0	0.96
"18.39"	30.98	16.29	27.58	0	4.75	1.04	12.42	104.61	6.54	9.62	151.2	9.93	0.43	0	0	0	0	6.15	10.33	0	6.04	10.22	0	1.97	0.9	0	23.62	0	0.95	1.45	1.66	1.14	0.46	11.49	0	4.4	0.43	25.07	5.24	5.79	0.56	0	27.81	5.51	27.69	7.88	311.6	5.51	543.38	12.77	275.4	18.69	37.47	8.77	0	10.72	0	0	6.59	0	1.62	0	0	34.35	8.51	0	0.91	0	0.56
"19.3"	15.27	29.36	24.73	2.54	14.82	0	19.97	126.46	0.48	10.57	121.13	8.4	3.39	1.15	0	3.72	0	14.8	17.75	0	5.93	13.16	1.62	0	1.52	0	17.58	0	2.51	2.11	2.99	0.43	1.01	21.74	2.21	6.42	6.01	21.44	13.59	11.79	0	0.55	17.04	3.7	15.93	7.04	304.04	1.6	465.95	4.26	267.3	25.89	43.11	10.1	0	39.55	0	0	11.61	0	0.63	2.39	0	47.98	18.24	0	5.49	0	0
