"Acanthocerataceae"	"Acaryochloridaceae"	"Acipenseridae"	"Amphipleuraceae"	"Anarhichadidae"	"Anaulaceae"	"Anguillidae"	"Aphanizomenonaceae"	"Aphanothecaceae"	"Apogonidae"	"Apusomonadidae"	"Attheyaceae"	"Bacillariaceae"	"Balaenopteridae"	"Bathycoccaceae"	"Batrachoididae"	"Biddulphiaceae"	"Blenniidae"	"Bovichtidae"	"Brachionidae"	"Bracteacoccaceae"	"Bryopsidaceae"	"Calanidae"	"Callorhinchidae"	"Calotrichaceae"	"Carangidae"	"Chaetocerotaceae"	"Chamaesiphonaceae"	"Channichthyidae"	"Chlamydomonadaceae"	"Chlorellaceae"	"Chlorobiaceae"	"Chlorococcaceae"	"Chlorodendraceae"	"Chloroflexaceae"	"Chloropicaceae"	"Chromulinaceae"	"Chroococcaceae"	"Chroococcidiopsidaceae"	"Chroomonadaceae"	"Clupeidae"	"Coelacanthidae"	"Coleofasciculaceae"	"Coscinodiscaceae"	"Cyanidiaceae"	"Cyanothecaceae"	"Cyclopteridae"	"Cymatosiraceae"	"Delphinidae"	"Dermocarpellaceae"	"Desmidiaceae"	"Eirenidae"	"Engraulidae"	"Entomoneidaceae"	"Eucalanidae"	"Euglenaceae"	"Eunotiaceae"	"Euplotidae"	"Fonticulaceae"	"Fragilariaceae"	"Fundulidae"	"Gadidae"	"Gasterosteidae"	"Geminigeraceae"	"Gloeobacteraceae"	"Gloeomargaritaceae"	"Gobiidae"	"Golenkiniaceae"	"Gomontiellaceae"	"Gomphonemataceae"	"Gonyaulacaceae"	"Gymnodiniaceae"	"Haematococcaceae"	"Halimedaceae"	"Hapalosiphonaceae"	"Heliobacteriaceae"	"Hemiaulaceae"	"Hexamitidae"	"Histionidae"	"Holocentridae"	"Hydridae"	"Hydrodictyaceae"	"Hyellaceae"	"Klebsormidiaceae"	"Koliellaceae"	"Kryptoperidiniaceae"	"Lateolabracidae"	"Leptocylindraceae"	"Leptolyngbyaceae"	"Lithodesmiaceae"	"Mamiellaceae"	"Merismopediaceae"	"Metridinidae"	"Microcoleaceae"	"Microcystaceae"	"Monodontidae"	"Monodopsidaceae"	"Mustelidae"	"Myxinidae"	"Naviculaceae"	"Nephroselmidaceae"	"Noelaerhabdaceae"	"Nostocaceae"	"Octopodidae"	"Oculatellaceae"	"Oscillatoriaceae"	"Ostreobiaceae"	"Otariidae"	"Oxytrichidae"	"Paralichthyidae"	"Parameciidae"	"Paulinellidae"	"Pedinomonadaceae"	"Pelagiidae"	"Perkinsidae"	"Petromyzontidae"	"Phaeocystaceae"	"Phaeodactylaceae"	"Phocidae"	"Phocoenidae"	"Physeteridae"	"Plagiogrammaceae"	"Pleuronectidae"	"Prasinococcaceae"	"Prochloraceae"	"Prochlorotrichaceae"	"Pseudanabaenaceae"	"Pycnococcaceae"	"Pyramimonadaceae"	"Radiococcaceae"	"Rajidae"	"Rhincodontidae"	"Rhizosoleniaceae"	"Rivulariaceae"	"Roseiflexaceae"	"Salmonidae"	"Salpingoecidae"	"Sarcinofilaceae"	"Sciaenidae"	"Scyliorhinidae"	"Scytonemataceae"	"Sebastidae"	"Selenastraceae"	"Serranidae"	"Skeletonemataceae"	"Sparidae"	"Sphaerozoidae"	"Staurosiraceae"	"Stephanodiscaceae"	"Suessiaceae"	"Synechococcaceae"	"Syngnathidae"	"Temoridae"	"Tetrahymenidae"	"Tetraodontidae"	"Thalassiosiraceae"	"Tolypothrichaceae"	"Toxariaceae"	"Trebouxiaceae"	"Triceratiaceae"	"Triparmaceae"	"Ulnariaceae"	"Ulotrichaceae"	"Ulvaceae"	"Vahlkampfiidae"	"Volvocaceae"	"Zygnemataceae"
"1.08"	1.59	1.92	18.92	0.64	15.66	0.39	18.64	23.09	15.38	653.05	19.07	2.33	9.11	12.6	16.36	138.67	0.97	164.49	254.85	0	0.97	0.31	0	83.26	31.12	156.86	42.79	3.57	141.74	14.56	11.52	48.17	0.24	0	7	93.2	0	6.83	2.6	0.3	13.39	8.85	2.43	0.94	6.23	1.96	9.97	0	13.25	3.77	2.03	0	0.3	0.29	0.32	2.9	0	0.67	5.83	0.65	17.58	187.05	23.02	12.7	9.69	2.9	15.95	0	1.46	0.26	7.86	1.52	1.17	0.91	15.69	4.1	2.11	1.14	0.88	285.57	6.9	2.14	2.11	0.78	0	0	180.15	0.56	13.33	0.58	25.46	2.28	0	20	11.88	17.5	25.15	196.69	0.87	1.11	0	16.85	72.66	15.2	1.99	16.92	1.44	13.52	0	10.08	16.07	1.92	0.33	1.4	3.5	24.17	6.61	2.84	18.92	4.45	3.3	2.52	14.43	0	10.69	2.06	3.96	0	0.43	0.31	17.6	6.51	3.46	4.99	12.78	1390.54	14.16	0.29	373.29	61.85	10.83	11.88	8.36	433.86	6.29	413.02	4.72	0	5.04	0	124.41	91.88	7.65	15.5	80.01	15	1.03	0.37	0.52	0	4.45	0	0	1.54	7.61	10.45	0.94
"1.75"	1.85	4.69	26.47	0.64	17.79	1.14	21.78	29.59	13.03	308.63	16.78	9.02	21.37	10.51	35.11	174.37	0.94	183.1	167.15	0.5	0.51	0	0.37	26.23	54.05	168.56	73.89	3.74	193.84	20.07	21.42	86.73	0.48	0	15.54	13.63	0.52	17.92	9.69	0.42	28.7	16.2	16.35	2.13	9.5	6.02	16.56	0.92	31.53	2.29	1.15	0	0	0.54	1.31	1.39	0	2.2	6.25	1.6	22.3	256.35	37.49	17.64	17.41	1.64	34.44	1.12	0.99	1.06	3.98	0	3.41	0.57	4.72	16.3	4.17	4.5	0	329.48	6.94	0	7.4	0.59	0.45	0.44	188.99	2.01	35.16	2.2	26.79	6.94	0.54	26.16	17.59	6.37	18.56	232.04	2.58	1.2	1.06	39.62	96.89	26.2	12.68	28.19	0.43	14.82	0.55	11.43	22.93	0	0	4.96	3.97	28.03	8.72	10.96	30.15	11.75	7.3	0.59	19.26	0	16.9	11.18	13.05	0	0.54	0	16.64	10.39	2.45	13.34	27.35	878.72	11.87	0	265.78	77.28	13.85	17.49	12.16	524.33	17.04	376.88	10.16	1.56	17.26	0.51	270.37	124.15	12.9	18.94	116.49	38.25	3.8	0.54	1.47	1.46	9.49	0.5	1.23	2.5	15.64	19.79	1.03
"2.36"	0.64	6.9	28.98	0	18.32	0	26.83	28.39	22.66	294.65	14.65	1.92	14.6	7.49	31.28	184.6	0.75	197.72	156.85	4	0	1.44	0.73	19.31	55.66	221.43	48.58	4.7	170.72	25.9	18.81	83.76	0	0.61	12.92	4.95	2.87	13.71	3.19	0	38.24	16.02	6.82	2.16	16.18	12.66	22.01	0	16.68	4.02	5.38	0	1.49	0	0.66	3.47	0	0	8.84	1.91	20.94	219.65	42.43	25.68	23.43	1.97	31.82	0	3.75	2.08	3.38	0	3.45	10.94	11	14.68	6.47	0	0	296.89	10.22	1.28	3.99	0	0	0.91	163.09	0.66	34.96	0	34.79	5.28	0.67	25.18	17.09	6.48	14.51	256.44	1.31	3	0.67	20.12	110.92	19.31	7.72	30.76	2.62	9.66	0.67	16.45	15.35	1.26	0.79	0	0.79	33.56	21.9	8.56	30.38	6.01	10.51	1.95	17	0	27.16	7.5	13.88	0	0	0	16.55	19.89	0.61	10.47	28.78	859.55	23.18	0	261.91	91.04	10.13	13.37	16.23	594.88	9.58	363.81	24.29	0	13.61	0	291.8	112.89	22.83	14.44	101.53	29.59	8.14	0	3.28	2.03	8.19	0	1.49	1.54	14.02	22.37	0
"2.99"	4.67	3.64	33.51	2	24.21	0.63	20.96	31.67	25.63	267.72	7.18	11.03	39.84	17.94	66.52	149.23	1.73	180.14	130.19	0.57	0	1.12	2.28	21.75	55.35	182.41	193.08	3.74	167.35	22.59	15.85	61.93	1.41	1.33	10.44	8.2	0.54	13.08	4.2	0	86.12	10.25	5.65	5.42	7.61	1.19	10.62	4.8	21.42	4.9	0.6	0	0	3.79	1.31	2.87	0	1.26	13.7	4.35	12.79	271.5	34.08	24.33	10.01	5.56	30.78	0	7.08	1.88	3.57	0	0	0	7.64	10.9	13	4.73	0	403.93	10.69	0.7	6.44	3.71	2.55	2.45	164.1	2.21	28.32	6.5	29.65	3.25	1.11	24.67	13.81	12.4	13.89	223.03	1.19	2.89	1.92	29.44	88.57	16.84	2.17	29.53	0.58	10.16	1.13	16.45	19.11	2.57	0	0.66	5.99	19.12	39.15	2.37	30.19	8.59	6.07	1.8	16.06	0.53	21.64	3.19	9.14	0	0.62	0	37.14	16.21	8.99	7.82	17.25	759.15	27.47	1.15	220.88	66.16	11.07	12.59	7.89	509.34	46.13	341.14	51.62	1.26	45.86	0	279.17	104.41	14.95	31.15	97.61	74.59	6.82	0.76	0.49	1.72	16.82	1.18	0.75	0	12.61	8.99	1.41
"3.66"	0	8.3	24.06	1.47	21.68	0	24.99	42.93	29.64	299.45	5.74	5.73	19.83	8.02	44.28	187.29	0.5	194.37	150.72	2.99	0	5.74	0	22.88	57.06	221.76	30.59	4.39	180	11.82	13.78	63.87	1.27	0	13.49	14.66	0	14.05	6.58	0.65	71.09	23	3.8	1.15	9.3	3.74	17.79	2.1	21.61	7.03	1.23	0	0	0	1.29	2.86	0	0.58	11.69	2.22	17.56	230.56	39.85	17.66	19.14	0.44	32.5	0	5.99	1.87	1.06	0.69	0	4.12	13.76	12.09	7.45	2.13	0.53	387.71	4.41	0	3.64	0.63	5.26	1.08	197	1.06	30.55	1.12	31.2	3.83	1.1	24.27	11.01	6.03	14.44	228.69	0.53	4.91	1.68	18.43	109.9	17.66	4.61	23.77	0.52	17.04	0.54	16.52	16.67	2.02	0	0	6.67	27.9	30.04	7.93	28.7	6.52	5.12	0.66	20.3	0	16.28	4.63	7.45	0	2.8	0.53	20.24	13.12	3.11	6.6	11.36	844.71	15.4	0	238.55	103.33	15.03	14.87	12.86	533.95	18.94	344.53	36.11	0	22.47	0	280.5	121.35	16.19	13.43	122.37	50.73	3.92	0.51	2.5	1.41	14.21	1.91	0.94	0.5	23.63	7.42	0.48
"4.31"	1.1	3.79	26.57	0.63	14.88	2.1	17.63	44.54	24.56	294.53	17.26	3.76	28.09	13.08	55	186.51	0	159.82	172.15	0.55	0	0	0.73	20.13	63.32	202.09	36.92	3.64	192.66	20.4	10.42	70.29	1.27	0	11.87	14.64	0	11.64	6.59	0	101.03	24.5	9.6	1.17	8.17	4.05	12.6	1.91	25.73	6.83	1.17	0.59	0	0	0.58	2.4	0	1.14	4.48	1.86	21.89	234.34	32.2	12.38	13.69	3.02	38.62	0	10.86	2.23	0.73	1.28	0	0.63	8.86	15.43	6.53	3.63	0	366.87	18.64	0	2.45	10.12	0	0	181.81	0.65	35.69	1.11	21.48	4.83	0.59	38.73	15.65	10.72	10.9	212.46	1.32	2.23	3.05	23	109.78	25.79	4.27	32.32	0.64	8.93	1.14	12.08	21.55	3.1	0	1.08	5.64	21.25	29.84	7.11	26.59	4.1	8.59	1.8	11.34	0	27.74	10.68	12.78	0.61	0	0.7	19.81	5.84	1.67	14.03	16.16	798.41	14.55	1.68	236.55	85.45	10.92	25.94	10.66	566.91	25.18	375.39	34.04	0.63	25.76	0	248.97	103.46	14.41	32.07	90.45	70.13	6.08	1.92	1.92	1.94	14.94	0.57	2.46	1.11	18.23	11.67	4.05
"5.6"	0.92	0.99	39.44	1.19	19.35	0	22.26	53.1	19.46	261.54	13.02	11.64	30.17	14.24	68.23	186.95	0	218.2	155.3	0	0	0	2.11	12.04	62.49	184.43	33.77	9.44	167.42	14.59	13.11	63.45	0	0	10.93	18.35	1.11	33.7	4.8	0	73.98	9.99	9.34	0.84	11.52	0	27.08	1.89	11.27	13.91	0	0	0	0	2.18	5.96	0	4.12	4.44	4.04	21.41	233.2	36.88	18.28	5.6	0	19.76	0	0.99	1.09	0	1.79	0	4.25	14.71	5.85	6.98	0	0	351.04	10.67	1.85	7.32	3.14	0	0	172.77	3.9	43.28	0	29.31	7.62	0.79	26.98	18.79	5.83	8.41	188.75	4.74	3.27	1.01	21.47	153.54	18.36	5.41	28.23	3.84	6.94	3.06	13.17	29.84	4.07	0	0.98	4.68	29.53	34.89	0.99	26.09	9.68	3.98	1.03	8.02	2.84	16.58	4.99	11.95	3.01	1.82	2.93	15.52	7	5.87	13.85	13.02	868.94	26.9	1.06	221.41	84.37	8.96	9.91	9.14	591.74	36.5	347.48	29.2	0	22.82	0	229.08	134.01	19.5	20.44	123.22	48.4	0.92	1.06	1.82	1.9	14.03	0.99	0	0	23.77	13.68	6.01
"6.26"	6.95	4.31	33.45	2.69	14.02	5.18	11.73	27.78	28.44	316.1	9.67	9.01	29.31	10.64	50.97	152.04	8.06	170.21	169.22	0.38	0	0.54	0.39	11.44	47.93	196.07	390.87	2.38	184.39	9.39	6.8	43.27	0	0	8.35	4.5	0.5	22.35	8.97	0.78	108.35	9.99	4.6	5.07	7.58	7.81	9.11	5.88	13.29	10.37	2.92	0.86	0	2.69	0.89	2.69	1.7	0.41	4.71	4.2	13.99	236.72	28.62	14.92	6.55	7.12	23	0	6	3.18	0.56	1.81	0	0.79	4.71	29.69	19.39	4.26	0	323.97	16.27	1.5	1.67	0.52	0	2.97	181.21	7.92	18.78	7.14	17.04	7.2	1.71	21.24	13.05	6.7	10.39	169.17	2.25	6.25	0.45	15.84	97.26	18.45	1.65	19.42	0	7.91	0	6.87	23.52	2.74	0	1.92	7.09	14.73	13.34	8.71	30.18	6.76	4.35	2.81	11.24	0.85	42.88	3.11	6.81	2.66	3.25	0.41	21.19	16.92	9.2	10.44	5.56	793.56	9.84	9.68	274.07	81.92	11.4	12.14	8.31	562.31	24.91	373.68	24.47	3.96	27.85	0	179.82	84.86	17.55	20.26	95.18	64.37	4.14	2.04	9.35	3.75	12.07	1.24	0.37	0.82	28.48	6.59	5.03
"7.56"	3.44	3.51	38.58	2.62	15.76	6.28	7.35	53.39	47.59	293.32	4.82	3.53	18.78	7.23	24.03	155.46	2.23	156.43	168.91	1.09	0.33	0.64	0.43	22.38	70.97	195.97	165.92	4.42	211.73	5.44	30	90.48	6.36	0.38	3.16	8.3	0	8.8	15.45	0.33	66.89	11.26	0.96	2.31	1.82	1.49	15.54	0.87	14.17	13.06	1.05	0.37	4.88	2.22	0.66	0	2.8	0	4.18	0.96	22.19	210.36	23.55	8.68	24.14	7.15	20.2	0.32	2.65	0.35	0	0.8	0	4.72	8.28	20.37	6.06	0.39	1.78	239.7	7.34	0.67	1.16	6.73	0	0.46	189.04	3.72	20.9	2.23	11.88	12.78	0.44	36.63	41.2	12.67	8.5	243.81	0.65	2.05	4.68	22.74	183.46	35.1	3.4	37.21	3.97	9.93	0.78	19.18	24.18	1.48	0.4	1.54	3.55	20	14.01	4.15	37.39	10.33	6.76	2.41	16.32	0	49.31	1.27	27.72	4.66	0.68	0	32.2	4.27	17.04	10.95	11.1	825.62	12.87	9.01	238.33	52.79	11.14	10.49	3.88	669.59	21.03	345.54	10.28	1.9	18.46	0	194.5	90.41	16.39	33.84	104.94	48.44	0.65	0.98	1.16	0.32	7.13	1.87	0.46	0	20.45	9.1	3.38
"8.29"	1.03	2.64	27.51	1.47	17.6	2.99	15.82	36	27.45	319.71	6.25	6.76	27.67	13.07	45.89	183.68	0.58	216.79	147.34	0	0	0.56	1.74	17.02	56.8	179.66	51.89	8.65	190.69	7.62	15.77	63.68	1.01	0	6.93	12.28	0	16.45	21.55	0	134.45	20.79	1.64	1.66	4.21	1.51	23.8	2.14	13.2	16.95	3.55	0.59	2.94	0	0.88	2.54	0.54	2.68	2.51	2.03	19.22	243.36	38.19	9.07	4.78	2.08	27.47	0	1.85	1.27	1.08	0.55	0.52	1.51	14.08	10.95	5.46	0.52	1.6	309.36	11.26	0	5.83	7.83	0.59	1.22	197.23	3.61	16.68	1.05	21.77	5.02	0	32.07	13.35	11.01	14.73	222.74	1.62	2.58	3.12	30.72	142.63	31.45	8.19	34.63	4.4	6.66	0.5	13.94	27.43	1.9	0.53	0.56	2.66	36.04	18.81	4.4	29.22	3.01	6.25	2.31	21.7	0	26.37	0.98	11.1	0.51	0.49	0	29.09	8.85	3.48	6.98	9.89	792.42	17.33	8.04	241.52	77.12	15.87	13.33	9.33	559.4	33.18	402.75	26.93	0	34.76	1.04	224.24	96.96	12.45	29.71	95.24	58.46	3.3	0	1.62	0.36	15.4	0.38	0	1.5	21.43	14.13	1.73
